_unit_id,airline_sentiment,airline_sentiment:confidence,negativereason,negativereason:confidence
681448223,negative,1.0,Customer Service Issue,1.0
681452067,negative,1.0,Flight Booking Problems,0.6939
681451479,neutral,1.0,,
681456798,negative,1.0,Flight Booking Problems,1.0
681461929,negative,1.0,Damaged Luggage,0.6663
681453541,neutral,1.0,,
681457766,positive,1.0,,
681455921,neutral,1.0,,
681452831,neutral,0.6709,,0.0
681454491,negative,1.0,Customer Service Issue,0.6804
681449270,negative,0.3579,Customer Service Issue,0.3579
681677630,negative,1.0,Customer Service Issue,0.68
681679100,positive,1.0,,
681450850,negative,1.0,Customer Service Issue,0.6593
681678938,negative,1.0,Cancelled Flight,0.6753
681453765,negative,1.0,Late Flight,1.0
681461793,negative,1.0,Late Flight,1.0
681677404,negative,1.0,Lost Luggage,0.6890000000000001
681449113,negative,1.0,Late Flight,0.6854
681460105,neutral,1.0,,
681450128,negative,1.0,Customer Service Issue,0.6802
681448996,neutral,1.0,,
681459671,negative,1.0,Late Flight,0.6835
681460499,positive,1.0,,
681449143,negative,0.6692,Can't Tell,0.3426
681457435,positive,1.0,,
681455630,negative,1.0,Flight Attendant Complaints,1.0
681677607,negative,1.0,Cancelled Flight,1.0
681678413,negative,1.0,Customer Service Issue,1.0
681679014,positive,0.7007,,
681462535,negative,0.6365,Customer Service Issue,0.3377
681461335,negative,1.0,Can't Tell,1.0
681451240,positive,0.3368,,0.0
681678988,negative,1.0,Flight Attendant Complaints,1.0
681454189,negative,1.0,Can't Tell,0.3423
681462494,neutral,0.6853,,
681678143,negative,1.0,Customer Service Issue,1.0
681451749,positive,0.6793,,0.0
681677449,negative,1.0,Late Flight,0.3468
681459143,neutral,1.0,,
681458976,neutral,1.0,,
681455036,neutral,0.6842,,
681461182,negative,1.0,Flight Attendant Complaints,0.6791
681458005,positive,1.0,,
681455644,neutral,0.6294,,
681679194,negative,0.6629,Can't Tell,0.3714
681461124,negative,1.0,Customer Service Issue,1.0
681461517,negative,1.0,Late Flight,1.0
681679496,negative,1.0,Customer Service Issue,1.0
681456652,positive,1.0,,
681448897,neutral,0.639,,
681452636,negative,0.6297,Cancelled Flight,0.6297
681458788,positive,1.0,,
681460073,negative,1.0,Lost Luggage,1.0
681462969,neutral,0.6803,,0.0
681454360,positive,1.0,,
681454222,neutral,0.6906,,0.0
681460752,negative,1.0,Customer Service Issue,1.0
681459450,positive,1.0,,
681679175,neutral,1.0,,
681679523,negative,1.0,Flight Booking Problems,1.0
681458728,positive,0.6669,,
681451204,negative,1.0,Cancelled Flight,1.0
681454620,neutral,1.0,,
681463070,negative,1.0,Flight Attendant Complaints,1.0
681458814,positive,0.6701,,0.0
681454773,negative,1.0,Flight Attendant Complaints,0.7113
681462472,neutral,0.6808,,0.0
681454082,negative,0.6673,Late Flight,0.3345
681455396,negative,1.0,Customer Service Issue,0.6685
681458901,negative,1.0,Late Flight,1.0
681452713,negative,1.0,Flight Attendant Complaints,1.0
681460925,negative,1.0,Can't Tell,0.3604
681679326,neutral,1.0,,
681453119,neutral,1.0,,
681458833,positive,0.6816,,
681452846,neutral,1.0,,
681460726,negative,1.0,Late Flight,1.0
681457456,negative,1.0,Late Flight,1.0
681453911,neutral,0.6558,,0.0
681448971,neutral,0.6831,,0.0
681452692,neutral,0.6875,,0.0
681462553,negative,1.0,Customer Service Issue,0.6739
681451299,negative,0.6545,Late Flight,0.6545
681678444,negative,1.0,Lost Luggage,0.6471
681461224,negative,1.0,Lost Luggage,0.6436
681462068,negative,1.0,Lost Luggage,1.0
681448991,positive,1.0,,
681454817,positive,1.0,,
681459035,neutral,0.6907,,0.0
681453707,negative,1.0,Customer Service Issue,0.6861
681453502,positive,1.0,,
681678158,neutral,0.6579,,0.0
681461664,negative,1.0,Bad Flight,0.397
681678071,negative,1.0,Late Flight,1.0
681453986,negative,1.0,Customer Service Issue,0.6559999999999999
681458530,neutral,0.6559999999999999,,0.0
681463178,negative,1.0,Customer Service Issue,0.7188
681462517,negative,1.0,Damaged Luggage,0.6868
681449341,negative,1.0,Customer Service Issue,1.0
681461144,negative,0.6948,Customer Service Issue,0.3522
681677317,neutral,0.6771,,
681452895,negative,0.6856,Late Flight,0.3593
681457602,negative,0.7118,Can't Tell,0.7118
681462238,negative,1.0,Bad Flight,0.3602
681455439,,1.0,Bad Flight,0.6588
681455801,negative,1.0,Late Flight,0.6768
681451488,negative,1.0,Late Flight,0.657
681677937,negative,1.0,Customer Service Issue,0.6927
